Date,Player,Game,Score,Spanagram Score,Hint Used
7/15/2024,Grace,Wordle,5,,
7/16/2024,Grace,Wordle,3,,
7/17/2024,Grace,Wordle,3,,
7/18/2024,Grace,Wordle,6,,
7/19/2024,Grace,Wordle,5,,
7/20/2024,Grace,Wordle,4,,
7/21/2024,Grace,Wordle,3,,
7/22/2024,Grace,Wordle,4,,
7/23/2024,Grace,Wordle,3,,
7/24/2024,Grace,Wordle,4,,
7/25/2024,Grace,Wordle,4,,
7/26/2024,Grace,Wordle,5,,
7/27/2024,Grace,Wordle,6,,
7/28/2024,Grace,Wordle,4,,
7/29/2024,Grace,Wordle,4,,
7/30/2024,Grace,Wordle,3,,
7/31/2024,Grace,Wordle,5,,
7/15/2024,Grace,Connections,0,,
7/16/2024,Grace,Connections,0,,
7/17/2024,Grace,Connections,3,,
7/18/2024,Grace,Connections,4,,
7/19/2024,Grace,Connections,0,,
7/20/2024,Grace,Connections,0,,
7/21/2024,Grace,Connections,4,,
7/22/2024,Grace,Connections,4,,
7/23/2024,Grace,Connections,3,,
7/24/2024,Grace,Connections,4,,
7/25/2024,Grace,Connections,3,,
7/26/2024,Grace,Connections,4,,
7/27/2024,Grace,Connections,1,,
7/28/2024,Grace,Connections,2,,
7/29/2024,Grace,Connections,2,,
7/30/2024,Grace,Connections,4,,
7/31/2024,Grace,Connections,0,,
7/15/2024,Grace,Mini,0:57,,
7/16/2024,Grace,Mini,1:43,,
7/17/2024,Grace,Mini,0:40,,
7/18/2024,Grace,Mini,1:17,,
7/19/2024,Grace,Mini,2:47,,
7/20/2024,Grace,Mini,2:37,,
7/21/2024,Grace,Mini,0:50,,
7/22/2024,Grace,Mini,1:15,,
7/23/2024,Grace,Mini,1:47,,
7/24/2024,Grace,Mini,0:35,,
7/25/2024,Grace,Mini,1:30,,
7/26/2024,Grace,Mini,3:01,,
7/27/2024,Grace,Mini,1:24,,
7/28/2024,Grace,Mini,0:29,,
7/29/2024,Grace,Mini,1:02,,
7/30/2024,Grace,Mini,0:54,,
7/31/2024,Grace,Mini,1:39,,
7/15/2024,Grace,Strands,,6,
7/16/2024,Grace,Strands,,1,
7/17/2024,Grace,Strands,,1,
7/18/2024,Grace,Strands,,1,
7/19/2024,Grace,Strands,,1,
7/20/2024,Grace,Strands,,5,
7/21/2024,Grace,Strands,,9,
7/22/2024,Grace,Strands,,3,
7/23/2024,Grace,Strands,,3,
7/24/2024,Grace,Strands,,9,
7/25/2024,Grace,Strands,,4,
7/26/2024,Grace,Strands,,1,
7/27/2024,Grace,Strands,,1,
7/28/2024,Grace,Strands,,3,
7/29/2024,Grace,Strands,,1,
7/30/2024,Grace,Strands,,1,
7/31/2024,Grace,Strands,,2,
7/15/2024,John,Wordle,4,,
7/16/2024,John,Wordle,3,,
7/17/2024,John,Wordle,5,,
7/18/2024,John,Wordle,4,,
7/19/2024,John,Wordle,6,,
7/20/2024,John,Wordle,5,,
7/21/2024,John,Wordle,7,,
7/22/2024,John,Wordle,3,,
7/23/2024,John,Wordle,2,,
7/24/2024,John,Wordle,4,,
7/25/2024,John,Wordle,4,,
7/26/2024,John,Wordle,4,,
7/27/2024,John,Wordle,5,,
7/28/2024,John,Wordle,4,,
7/29/2024,John,Wordle,3,,
7/30/2024,John,Wordle,5,,
7/31/2024,John,Wordle,4,,
7/15/2024,John,Connections,0,,
7/16/2024,John,Connections,4,,
7/17/2024,John,Connections,4,,
7/18/2024,John,Connections,0,,
7/19/2024,John,Connections,1,,
7/20/2024,John,Connections,4,,
7/21/2024,John,Connections,4,,
7/22/2024,John,Connections,1,,
7/23/2024,John,Connections,4,,
7/24/2024,John,Connections,0,,
7/25/2024,John,Connections,3,,
7/26/2024,John,Connections,4,,
7/27/2024,John,Connections,0,,
7/28/2024,John,Connections,4,,
7/29/2024,John,Connections,3,,
7/30/2024,John,Connections,4,,
7/31/2024,John,Connections,0,,
7/15/2024,John,Mini,1:57,,
7/16/2024,John,Mini,5:00,,
7/17/2024,John,Mini,0:25,,
7/18/2024,John,Mini,0:42,,
7/19/2024,John,Mini,2:50,,
7/20/2024,John,Mini,5:00,,
7/21/2024,John,Mini,5:00,,
7/22/2024,John,Mini,0:33,,
7/23/2024,John,Mini,2:34,,
7/24/2024,John,Mini,0:45,,
7/25/2024,John,Mini,0:57,,
7/26/2024,John,Mini,0:31,,
7/27/2024,John,Mini,1:08,,
7/28/2024,John,Mini,5:00,,
7/29/2024,John,Mini,0:56,,
7/30/2024,John,Mini,1:15,,
7/31/2024,John,Mini,2:32,,
7/15/2024,John,Strands,,1,
7/16/2024,John,Strands,,3,
7/17/2024,John,Strands,,1,
7/18/2024,John,Strands,,1,
7/19/2024,John,Strands,,1,
7/20/2024,John,Strands,,1,
7/21/2024,John,Strands,,9,
7/22/2024,John,Strands,,1,
7/23/2024,John,Strands,,2,
7/24/2024,John,Strands,,1,
7/25/2024,John,Strands,,3,
7/26/2024,John,Strands,,1,
7/27/2024,John,Strands,,9,
7/28/2024,John,Strands,,9,
7/29/2024,John,Strands,,1,
7/30/2024,John,Strands,,1,
7/31/2024,John,Strands,,1,
7/15/2024,Susie,Wordle,5,,
7/16/2024,Susie,Wordle,3,,
7/17/2024,Susie,Wordle,4,,
7/18/2024,Susie,Wordle,5,,
7/19/2024,Susie,Wordle,5,,
7/20/2024,Susie,Wordle,3,,
7/21/2024,Susie,Wordle,4,,
7/22/2024,Susie,Wordle,4,,
7/23/2024,Susie,Wordle,4,,
7/24/2024,Susie,Wordle,3,,
7/25/2024,Susie,Wordle,4,,
7/26/2024,Susie,Wordle,4,,
7/27/2024,Susie,Wordle,3,,
7/28/2024,Susie,Wordle,4,,
7/29/2024,Susie,Wordle,2,,
7/30/2024,Susie,Wordle,4,,
7/31/2024,Susie,Wordle,3,,
7/15/2024,Susie,Connections,1,,
7/16/2024,Susie,Connections,0,,
7/17/2024,Susie,Connections,1,,
7/18/2024,Susie,Connections,0,,
7/19/2024,Susie,Connections,0,,
7/20/2024,Susie,Connections,4,,
7/21/2024,Susie,Connections,2,,
7/22/2024,Susie,Connections,4,,
7/23/2024,Susie,Connections,4,,
7/24/2024,Susie,Connections,0,,
7/25/2024,Susie,Connections,2,,
7/26/2024,Susie,Connections,0,,
7/27/2024,Susie,Connections,2,,
7/28/2024,Susie,Connections,0,,
7/29/2024,Susie,Connections,0,,
7/30/2024,Susie,Connections,1,,
7/31/2024,Susie,Connections,0,,
7/15/2024,Susie,Mini,1:01,,
7/16/2024,Susie,Mini,1:53,,
7/17/2024,Susie,Mini,1:05,,
7/18/2024,Susie,Mini,1:47,,
7/19/2024,Susie,Mini,0:39,,
7/20/2024,Susie,Mini,1:22,,
7/21/2024,Susie,Mini,0:51,,
7/22/2024,Susie,Mini,0:38,,
7/23/2024,Susie,Mini,0:50,,
7/24/2024,Susie,Mini,0:47,,
7/25/2024,Susie,Mini,1:10,,
7/26/2024,Susie,Mini,1:01,,
7/27/2024,Susie,Mini,1:24,,
7/28/2024,Susie,Mini,0:32,,
7/29/2024,Susie,Mini,0:46,,
7/30/2024,Susie,Mini,1:09,,
7/31/2024,Susie,Mini,0:54,,
7/15/2024,Susie,Strands,,4,
7/16/2024,Susie,Strands,,1,
7/17/2024,Susie,Strands,,2,
7/18/2024,Susie,Strands,,1,
7/19/2024,Susie,Strands,,1,
7/20/2024,Susie,Strands,,1,
7/21/2024,Susie,Strands,,2,
7/22/2024,Susie,Strands,,3,
7/23/2024,Susie,Strands,,2,
7/24/2024,Susie,Strands,,1,
7/25/2024,Susie,Strands,,8,
7/26/2024,Susie,Strands,,1,
7/27/2024,Susie,Strands,,3,
7/28/2024,Susie,Strands,,1,
7/29/2024,Susie,Strands,,9,
7/30/2024,Susie,Strands,,0,
7/31/2024,Susie,Strands,,1,
8/1/2024,Grace,Wordle,4,,
8/1/2024,Grace,Connections,1,,
8/1/2024,Grace,Mini,0:40,,
8/1/2024,Grace,Strands,,1,
8/2/2024,Grace,Wordle,4,,
8/2/2024,Grace,Connections,0,,
8/2/2024,Grace,Mini,1:39,,
8/2/2024,Grace,Strands,,1,
8/3/2024,Grace,Wordle,3,,
8/3/2024,Grace,Connections,1,,
8/3/2024,Grace,Mini,1:39,,
8/3/2024,Grace,Strands,,5,
8/4/2024,Grace,Wordle,4,,
8/4/2024,Grace,Connections,1,,
8/4/2024,Grace,Mini,NA,,
8/4/2024,Grace,Strands,,8,
8/5/2024,Grace,Wordle,5,,
8/5/2024,Grace,Connections,0,,
8/5/2024,Grace,Mini,0:41,,
8/5/2024,Grace,Strands,,,
8/1/2024,John,Wordle,4,,
8/1/2024,John,Connections,2,,
8/1/2024,John,Mini,1:02,,
8/1/2024,John,Strands,,4,
8/2/2024,John,Wordle,4,,
8/2/2024,John,Connections,1,,
8/2/2024,John,Mini,0:59,,
8/2/2024,John,Strands,,1,
8/3/2024,John,Wordle,,,
8/3/2024,John,Connections,,,
8/3/2024,John,Mini,2L05,,
8/3/2024,John,Strands,,,
8/4/2024,John,Wordle,5,,
8/4/2024,John,Connections,0,,
8/4/2024,John,Mini,,,
8/4/2024,John,Strands,,1,
8/5/2024,John,Wordle,4,,
8/5/2024,John,Connections,0,,
8/5/2024,John,Mini,0:44,,
8/5/2024,John,Strands,,1,
8/1/2024,Susie,Wordle,3,,
8/1/2024,Susie,Connections,0,,
8/1/2024,Susie,Mini,0:41,,
8/1/2024,Susie,Strands,,1,
8/2/2024,Susie,Wordle,5,,
8/2/2024,Susie,Connections,1,,
8/2/2024,Susie,Mini,1:05,,
8/2/2024,Susie,Strands,,1,
8/3/2024,Susie,Wordle,2,,
8/3/2024,Susie,Connections,0,,
8/3/2024,Susie,Mini,2:05,,
8/3/2024,Susie,Strands,,1,
8/4/2024,Susie,Wordle,4,,
8/4/2024,Susie,Connections,0,,
8/4/2024,Susie,Mini,3:27,,
8/4/2024,Susie,Strands,,1,
8/5/2024,Susie,Wordle,3,,
8/5/2024,Susie,Connections,2,,
8/5/2024,Susie,Mini,0:35,,
8/5/2024,Susie,Strands,,2,
